Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
NPC2,2602.00246,804.99936,1416.002261,1994.82851
NPDC1,777.99937,357.00025,355.0003,1110.99979
NPEPL1,327.30268,90.99999,136.0002,405.90131
NPEPPS,2891.73954,494.550753,1406.781709,2133.31048
NPFFR1,22.1616,4.03987,0,14.5905
NPHP1,63.103667,13.08238,9.000006,32.331247
NPHP3,227.08663,29.470648,127.91661,230.5807256
NPHP4,172.00015,61.99993,141.00005,351.99991
NPIPA1,533.95166,157.69778,97.82783,471.64468
NPIPA2,5.20523,4.99932,1.98917,8.27257
NPIPA3,10.27252,4.99969,1.98925,8.27528
NPIPA5,28.8035,9.77695,7.1603,95.7022
